table	category	status	primary_key	converter	used_by	energyplus_classes	future_energyplus_classes	candidate_energyplus_classes	semantics	notes
BUILDING	model	converted	BUILDING_ID	destep_conv_building	""	Building	""	""	Building record with name, visibility, active storey, and extended property reference fields.	""
ENVIRONMENT	site	converted	ENVIRONMENT_ID	destep_conv_location	""	Site:Location	""	""	Project environment record with orientation, weather source, city/station metadata, location, pressure, and drawing-position fields.	""
SYS_CITY	site	observed	CITY_ID	""	""	""	""	""	City and weather-station library table with country, province, city, coordinates, climate, ground-temperature, and note fields.	Likely bridge from site metadata to CLIMATE_DATA and GROUND_DATA.
STOREY	geometry	supporting	ID	""	destep_conv_zone	ZoneList; ZoneGroup	""	""	Storey record with building ownership, storey number, representative multiplier, height, visibility, and extended property fields.	""
ROOM	geometry	converted	ID	destep_conv_zone	""	Zone; ZoneList; ZoneGroup	""	""	Room record with group, storey, room type, area, volume, outdoor-air, terminal, fan-coil, radiator, pressure, drawing-position, and extended property fields.	""
ROOM_GROUP	load_and_hvac	converted	ROOM_GROUP_ID	destep_conv_thermostat; destep_conv_ideal_loads	""	ThermostatSetpoint:DualSetpoint; ZoneControl:Thermostat; ZoneHVAC:IdealLoadsAirSystem; ZoneHVAC:EquipmentList; ZoneHVAC:EquipmentConnections	""	""	Room-group record with building, air-conditioning system, schedule, setpoint, stiffness, result-view, and HVAC heat-gain fields.	Converted for room temperature setpoint controls and ideal-loads zone equipment. AC_SCHEDULE_ID is used as IdealLoads availability; humidity setpoints, AC_T_* tolerance schedules, and real HVAC grouping remain deferred.
ROOM_TYPE_DATA	load_and_hvac	observed	ID	""	""	""	People; Lights; ElectricEquipment; ThermostatSetpoint:DualSetpoint	DesignSpecification:OutdoorAir	Room-type template record with occupant, lighting, equipment, HVAC schedule, setpoint, humidity, tolerance, illuminance, remark, and extended property fields.	Current models may also materialize per-room OCCUPANT_GAINS/LIGHT_GAINS/EQUIPMENT_GAINS rows; use this table as fallback/template only until precedence is confirmed.
ROOM_RELATION	load_and_hvac	converted	ID	destep_conv_room_ventilation	""	ZoneVentilation:DesignFlowRate	ZoneMixing	""	Room ventilation relation record whose field comments link a room to an adjacent room or outside boundary with schedule, capacity, type, point, and extended property fields.	Converted only when RELA_ROOM_ID references OUTSIDE; inter-zone mixing remains deferred until adjacent-room semantics are verified. Access field comments define VENT_SCHEDULE_ID as the air-change schedule. VENT_SET_MAX is retained for diagnostics because its unit still needs confirmation.
OUTSIDE	geometry	supporting	OUTSIDE_ID	""	""	""	""	""	Outside boundary marker with name, drawing-position, and extended property fields.	""
GROUND	geometry	supporting	GROUND_ID	""	""	""	""	""	Ground boundary marker with name, drawing-position, and extended property fields.	""
SURFACE	geometry	converted	SURFACE_ID	destep_conv_surface	""	BuildingSurface:Detailed	""	""	Surface record with area, azimuth, tilt, owning room, surface type and state, geometry, coefficients, matrix indices, shading, and extended property fields.	""
MAIN_ENCLOSURE	envelope	converted	ID	destep_conv_surface	""	BuildingSurface:Detailed	""	""	Main enclosure relation record with paired side surfaces, middle plane, construction kind, construction reference, calculation subdivision, storey, and extended property fields.	""
PLANE	geometry	supporting	PLANE_ID	""	""	""	""	""	Plane record linking a geometry to baseline start and end points.	""
GEOMETRY	geometry	supporting	GEOMETRY_ID	""	""	""	""	""	Geometry record linking a geometry identifier to its boundary loop.	""
LOOP_POINT	geometry	supporting	""	""	""	""	""	""	Loop point membership record with loop ID, point order, point reference, and owning geometry fields.	""
POINT	geometry	supporting	POINT_ID	""	""	""	""	""	Point record with point ID, name, and X/Y/Z coordinate fields.	""
DEFAULT_SETTING	defaults	supporting	""	""	""	""	""	""	Default-setting record with table and field names, typed default values, type code, kind, and comment fields.	Currently used by window conversion to resolve WINDOW_CONSTRUCTION = 0.
SCHEDULE_YEAR	schedules	converted	SCHEDULE_ID	destep_conv_schedule	""	ScheduleTypeLimits; Schedule:Day:Interval; Schedule:Week:Compact; Schedule:Year	""	""	Annual schedule record with schedule type, name, and 8760-hour data fields.	""
SYS_MATERIAL	construction	converted	MATERIAL_ID	destep_conv_const	""	Material	""	""	Opaque material library record with color, group, English and Chinese names, thermal properties, vapor permeability, pattern, deletion, flag, and annotation fields.	""
SYS_OUTWALL	construction	converted	STRUCT_ID	destep_conv_const	""	Construction	""	""	Exterior wall construction library record with group, English and Chinese names, resistance, inertia, special flag, flag, deletion, and annotation fields.	""
SYS_OUTWALL_MATERIAL	construction	supporting	""	""	""	""	""	""	Exterior wall construction layer record with construction ID, layer number, material ID, layer thickness or length, and annotation fields.	""
SYS_INWALL	construction	converted	STRUCT_ID	destep_conv_const	""	Construction	""	""	Interior wall construction library record with group, English and Chinese names, resistance, inertia, special flag, flag, deletion, and annotation fields.	""
SYS_INWALL_MATERIAL	construction	supporting	""	""	""	""	""	""	Interior wall construction layer record with construction ID, layer number, material ID, layer thickness or length, and annotation fields.	""
SYS_ROOF	construction	converted	STRUCT_ID	destep_conv_const	""	Construction	""	""	Roof construction library record with group, English and Chinese names, resistance, inertia, special flag, flag, deletion, and annotation fields.	""
SYS_ROOF_MATERIAL	construction	supporting	""	""	""	""	""	""	Roof construction layer record with construction ID, layer number, material ID, layer thickness or length, and annotation fields.	""
SYS_GROUNDFLOOR	construction	converted	STRUCT_ID	destep_conv_const	""	Construction	""	""	Ground floor construction library record with group, English and Chinese names, resistance, inertia, special flag, flag, deletion, and annotation fields.	""
SYS_GROUNDFLOOR_MATERIAL	construction	supporting	""	""	""	""	""	""	Ground floor construction layer record with construction ID, layer number, material ID, layer thickness or length, and annotation fields.	""
SYS_MIDDLEFLOOR	construction	converted	STRUCT_ID	destep_conv_const	""	Construction	""	""	Intermediate floor construction library record with group, English and Chinese names, resistance, inertia, special flag, flag, deletion, and annotation fields.	""
SYS_MIDDLEFLOOR_MATERIAL	construction	supporting	""	""	""	""	""	""	Intermediate floor construction layer record with construction ID, layer number, material ID, layer thickness or length, and annotation fields.	""
SYS_AIRFLOOR	construction	converted	STRUCT_ID	destep_conv_const	""	Construction	""	""	Air floor construction library record with group, English and Chinese names, resistance, inertia, special flag, flag, deletion, and annotation fields.	""
SYS_AIRFLOOR_MATERIAL	construction	supporting	""	""	""	""	""	""	Air floor construction layer record with construction ID, layer number, material ID, layer thickness or length, and annotation fields.	""
SYS_WINDOW	construction	converted	WINDOW_ID	destep_conv_const	""	Construction	""	""	Window construction library record with group, English and Chinese names, heat resistance, glass net ratio, reflectance coefficient, flags, deletion, and annotation fields.	Used as a detailed glazing fallback when aggregate WINDOW_TYPE_DATA performance is unavailable or invalid.
SYS_WINDOW_MATERIAL	construction	supporting	""	""	""	""	""	""	Window construction layer record with window ID, layer number, material ID, layer thickness or length, and annotation fields.	""
SYS_APP_MATERIAL	construction	supporting	APP_MATERIAL_ID	""	""	""	""	""	Transparent/application material library record with color, group, names, thermal properties, optical coefficients, emissivity, thickness, pattern, deletion, flag, and annotation fields.	""
SYS_DOOR	construction	planned	DOOR_ID	""	""	""	""	Door; GlazedDoor; Construction	Door construction library record with conductance, material, gap length, glass ratio, transparent material reference, flags, deletion, and annotation fields.	""
WINDOW	fenestration	converted	ID	destep_conv_window	""	FenestrationSurface:Detailed	""	""	Window instance record with side surfaces, middle plane, enclosure, construction, shading, curtain, schedule, solar heat-gain distribution, storey, type, K, SC, and extended property fields.	TYPE selects the aggregate WINDOW_TYPE_DATA construction; shading and curtain handling remain unconverted.
WINDOW_TYPE_DATA	fenestration	converted	ID	destep_window_type_performance	""	WindowMaterial:SimpleGlazingSystem; Construction	""	""	Window-type data record with name, layer count, K, SC, energy and light optical ratios, remark, and extended property fields.	K maps to U-Factor, SC maps to SHGC using SHGC = 0.87 * SC, and valid LIGHT_TRANS_RATIO maps to visible transmittance.
DOOR	fenestration	planned	ID	""	""	""	""	Door; GlazedDoor	Door instance record with side surfaces, middle plane, enclosure, construction, schedule, user-defined DLL, and extended property fields.	""
SHADING	shading	deferred	ID	""	""	""	""	""	Shading instance record with type, optical properties, library shading reference, material, building ownership, and extended property fields.	The current fixture has no shading instances; postpone until a model with shading is available.
SYS_SHADING	shading	observed	SHIELD_ID	""	""	""	""	""	System shading library record with shield ID, group, English and Chinese names, geometric parameters, and annotation fields.	""
LIB_SHADING	shading	observed	ID	""	""	""	""	""	User/library shading parameter record with type geometry, panel spacing, projection, side panel, price, image, group, note, and extended property fields.	""
DIST_MODE	loads	supporting	DIST_MODE_ID	""	""	""	""	""	Heat-gain distribution mode record with air, roof, floor, surrounding-surface fractions, and name fields.	""
OCCUPANT_GAINS	loads	converted	GAIN_ID	destep_conv_people; destep_conv_design_specification_outdoor_air	""	People; DesignSpecification:OutdoorAir	""	""	Occupant gain record with room, schedule, user-defined flag, maximum/minimum people, heat and moisture per person, outdoor-air requirement, calculation basis, distribution mode, storey, and drawing-position fields.	MIN_REQUIRE_FRESH_AIR is converted as a per-person outdoor-air requirement for zone equipment that supports DesignSpecification:OutdoorAir.
LIGHT_GAINS	loads	converted	GAIN_ID	destep_conv_lights	""	Lights	""	""	Lighting gain record with room, schedule, maximum/minimum nameplate power, heat/electric ratio, calculation basis, distribution mode, storey, and drawing-position fields.	""
EQUIPMENT_GAINS	loads	converted	GAIN_ID	destep_conv_electric_equipment	""	ElectricEquipment	""	""	Equipment gain record with room, schedule, maximum/minimum heat-gain power, maximum/minimum moisture generation, calculation basis, distribution mode, storey, and drawing-position fields.	""
CLIMATE_DATA	weather	deferred	ID	""	""	""	""	""	Hourly climate data record with hour, dry-bulb temperature, humidity ratio, horizontal radiation, ground temperature, sky temperature, wind speed, wind direction, and coefficient fields.	Likely future source for EPW generation or weather validation.
GROUND_DATA	weather	converted	ID	destep_conv_ground_temperature	""	Site:GroundTemperature:BuildingSurface	""	""	Hourly ground-temperature data record with hour and temperature fields.	Selected through SYS_CITY.GROUND_ID when available, with a unique GROUND_DATA.ID fallback; T is aggregated to monthly BuildingSurface ground temperatures.
AC_SYS	hvac	deferred	AC_SYS_ID	""	""	""	""	""	Air-conditioning system record with building and storey ownership, supply-temperature schedules, water and system type codes, outdoor-air controls, user-defined supply state, result-view, drawing-position, and extended property fields.	""
AHU	hvac	deferred	AHU_ID	""	""	""	""	""	Air-handling unit record with owning system, type, coil, sprayer, heater, humidifier, reheat, heat recovery, exchange coefficient, secondary return air, fan, resistance model, and extended property fields.	""
VRV_SOURCE	hvac	deferred	ID	""	""	""	""	""	VRV outdoor/source equipment record with name, library type reference, drawing-position, and extended property fields.	""
VRV_TERMINAL	hvac	deferred	ID	""	""	""	""	""	VRV indoor terminal record with name, library type reference, room group, owning system, position, main-pipe connection point, and extended property fields.	""
